Player,Matches,Innings,Runs,Balls_Faced,Outs,Batting_Average,Strike_Rate,Fours,Sixes,Dot_Balls,Dot_Ball_Percentage,Boundary_Percentage,Six_Percentage,Singles_Percentage,Doubles_Percentage,Triples_Percentage
"V Kohli",259,261,8671,6702,217,39.96,129.38,774,292,2331,34.78,55.91,20.21,41.90,7.10,0.31
"RG Sharma",266,267,7048,5475,235,29.99,128.73,640,303,2154,39.34,62.12,25.79,38.28,5.00,0.13
"S Dhawan",221,222,6769,5483,187,36.20,123.45,768,153,2136,38.96,58.95,13.56,38.34,5.45,0.42
"DA Warner",184,187,6567,4849,158,41.56,135.43,663,236,1873,38.63,61.95,21.56,34.69,7.63,0.49
"SK Raina",200,201,5536,4177,162,34.17,132.54,506,204,1476,35.34,58.67,22.11,40.89,6.49,0.26
"MS Dhoni",241,241,5439,4101,139,39.13,132.63,375,264,1481,36.11,56.70,29.12,39.55,8.39,0.37
"KL Rahul",135,138,5235,3947,112,46.74,132.63,453,208,1389,35.19,58.45,23.84,41.15,6.79,0.13
"AB de Villiers",170,172,5181,3487,122,42.47,148.58,414,253,1115,31.98,61.26,29.30,40.72,7.69,0.49
"AM Rahane",183,183,5032,4133,160,31.45,121.75,515,123,1573,38.06,55.60,14.67,39.41,6.63,0.46
"CH Gayle",141,145,4997,3516,125,39.98,142.12,408,359,1636,46.53,75.77,43.11,28.95,2.62,0.09
"RV Uthappa",197,198,4954,3927,175,28.31,126.15,481,182,1598,40.69,60.88,22.04,36.11,5.86,0.38
"KD Karthik",233,235,4843,3687,175,27.67,131.35,466,161,1329,36.05,58.43,19.95,39.71,7.00,0.16
"F du Plessis",147,147,4773,3605,128,37.29,132.40,440,174,1289,35.76,58.75,21.87,40.47,6.19,0.50
"SV Samson",171,171,4704,3475,148,31.78,135.37,379,219,1258,36.20,60.16,27.93,39.77,6.36,0.43
"AT Rayudu",185,185,4348,3490,148,29.38,124.58,359,173,1274,36.50,56.90,23.87,42.84,5.39,0.03
"SA Yadav",151,152,4311,2961,120,35.93,145.59,454,168,1044,35.26,65.51,23.38,37.49,6.01,0.24
"G Gambhir",151,151,4217,3524,128,32.95,119.67,492,59,1357,38.51,55.06,8.39,38.37,7.07,0.43
"JC Buttler",119,120,4121,2856,101,40.80,144.29,408,185,1102,38.59,66.54,26.94,33.40,6.93,0.28
"MK Pandey",161,163,3951,3355,133,29.71,117.76,340,116,1269,37.82,52.04,17.62,41.31,6.83,0.36
"SR Watson",141,143,3880,2892,124,31.29,134.16,377,190,1248,43.15,68.25,29.38,32.26,4.67,0.28
"Shubman Gill",114,114,3866,2867,95,40.69,134.84,372,119,952,33.21,56.96,18.47,41.68,7.60,0.38
"SS Iyer",131,132,3735,2905,109,34.27,128.57,315,152,1060,36.49,58.15,24.42,41.41,5.75,0.24
"RR Pant",123,126,3566,2504,102,34.96,142.41,321,170,909,36.30,64.61,28.60,37.98,5.99,0.08
"KA Pollard",168,172,3437,2447,120,28.64,140.46,221,224,967,39.52,64.82,39.10,35.64,6.29,0.33
"Q de Kock",115,116,3312,2533,106,31.25,130.75,325,134,1020,40.27,63.53,24.28,36.00,5.29,0.24
"RA Jadeja",194,194,3260,2607,115,28.35,125.05,240,117,895,34.33,50.98,21.53,42.88,8.86,0.23
"YK Pathan",153,154,3222,2334,105,30.69,138.05,263,161,872,37.36,62.63,29.98,37.57,6.68,0.21
"DA Miller",133,134,3077,2295,84,36.63,134.07,220,138,766,33.38,55.51,26.91,42.48,8.45,0.09
"Ishan Kishan",112,112,2998,2237,101,29.68,134.02,288,134,886,39.61,65.24,26.82,36.66,4.69,0.18
"WP Saha",143,143,2934,2368,118,24.86,123.90,296,87,935,39.48,58.15,17.79,37.08,7.01,0.25
"BB McCullum",109,111,2882,2272,102,28.25,126.85,293,130,1028,45.25,67.73,27.06,31.47,4.53,0.13
"N Rana",112,112,2853,2156,102,27.97,132.33,261,141,890,41.28,66.25,29.65,35.90,3.85,0.28
"PA Patel",136,136,2848,2442,121,23.54,116.63,365,49,1081,44.27,61.59,10.32,33.21,5.20,0.33
"GJ Maxwell",134,135,2820,1896,114,24.74,148.73,238,161,732,38.61,68.01,34.26,33.39,6.70,0.26
"MA Agarwal",125,126,2764,2146,117,23.62,128.80,275,100,852,39.70,61.51,21.71,36.63,5.82,0.28
"HH Pandya",140,143,2758,1962,95,29.03,140.57,207,150,709,36.14,62.65,32.63,39.25,6.12,0.25
"Yuvraj Singh",126,127,2754,2207,107,25.74,124.78,218,149,977,44.27,64.12,32.46,33.57,5.39,0.14
"V Sehwag",104,104,2728,1833,95,28.72,148.83,334,106,737,40.21,72.29,23.31,30.44,5.24,0.11
"AD Russell",114,115,2655,1626,90,29.50,163.28,187,223,707,43.48,78.57,50.40,27.61,3.69,0.00
"M Vijay",105,105,2619,2208,93,28.16,118.61,247,91,987,44.70,58.57,20.85,31.75,7.43,0.77
"RD Gaikwad",70,70,2502,1863,60,41.70,134.30,231,95,669,35.91,59.71,22.78,39.45,6.76,0.38
"SPD Smith",93,95,2495,1999,70,35.64,124.81,226,60,660,33.02,50.66,14.43,44.12,8.20,0.35
"SE Marsh",69,70,2489,1913,62,40.15,130.11,269,78,736,38.47,62.03,18.80,37.85,5.18,0.31
"JH Kallis",95,95,2427,2291,83,29.24,105.94,255,44,982,42.86,52.90,10.88,38.76,4.93,0.35
"DR Smith",88,88,2385,1803,80,29.81,132.28,245,117,832,46.15,70.52,29.43,28.90,4.66,0.17
"SR Tendulkar",78,78,2334,2044,67,34.84,114.19,296,29,874,42.76,58.18,7.46,35.27,5.72,0.34
"N Pooran",86,88,2293,1433,66,34.74,160.01,158,167,532,37.12,71.26,43.70,34.61,5.37,0.21
"RA Tripathi",98,98,2291,1707,85,26.95,134.21,229,85,649,38.02,62.24,22.26,36.79,6.50,0.29
"R Dravid",82,82,2174,1918,75,28.99,113.35,269,28,819,42.70,57.22,7.73,35.51,6.15,0.05
"YBK Jaiswal",66,66,2166,1454,62,34.94,148.97,259,92,593,40.78,73.31,25.48,30.81,3.85,0.41
"KS Williamson",76,77,2132,1734,58,36.76,122.95,187,64,622,35.87,53.10,18.01,42.27,6.86,0.46
"AJ Finch",90,91,2092,1696,82,25.51,123.35,214,78,749,44.16,63.29,22.37,32.19,6.19,0.24
"AC Gilchrist",80,80,2069,1555,75,27.59,133.05,239,92,737,47.40,72.89,26.68,26.82,4.24,0.26
"JP Duminy",75,75,2029,1680,48,42.27,120.77,126,79,562,33.45,48.20,23.36,46.49,7.50,0.36
"MP Stoinis",99,99,2026,1457,71,28.54,139.05,158,106,537,36.86,62.59,31.39,38.30,6.59,0.07
"MEK Hussey",58,58,1977,1648,49,40.35,119.96,198,52,643,39.02,55.84,15.78,39.32,5.83,0.67
"AR Patel",123,123,1916,1489,84,22.81,128.68,130,94,529,35.53,56.58,29.44,42.98,6.45,0.00
"PP Shaw",79,79,1892,1321,76,24.89,143.22,238,61,522,39.52,69.66,19.34,32.48,5.15,0.23
"S Dube",75,75,1859,1366,60,30.98,136.09,108,122,518,37.92,62.61,39.38,39.68,5.49,0.07
"Abhishek Sharma",74,74,1816,1167,66,27.52,155.61,174,101,451,38.65,71.70,33.37,31.79,5.74,0.26
"DPMD Jayawardene",78,79,1808,1522,59,30.64,118.79,200,40,619,40.67,57.52,13.27,37.12,6.11,0.26
"D Padikkal",74,74,1806,1496,70,25.80,120.72,192,56,632,42.25,61.13,18.60,35.90,4.81,0.47
"B Sai Sudharsan",40,40,1793,1279,35,51.23,140.19,183,53,400,31.27,58.56,17.74,42.85,7.19,0.16
"SP Narine",118,118,1780,1144,95,18.74,155.59,189,116,557,48.69,81.57,39.10,20.98,3.50,0.09
"KH Pandya",114,114,1756,1376,77,22.81,127.62,153,65,537,39.03,57.06,22.21,35.90,8.79,0.44
"Mandeep Singh",97,97,1706,1418,80,21.33,120.31,176,38,555,39.14,54.63,13.36,37.45,7.97,0.28
"MK Tiwary",83,83,1695,1489,57,29.74,113.83,156,40,571,38.35,50.97,14.16,42.51,5.17,0.54
"KK Nair",76,76,1694,1314,68,24.91,128.92,185,49,519,39.50,61.04,17.36,35.77,6.47,0.38
"KC Sangakkara",68,68,1687,1424,65,25.95,118.47,195,27,552,38.76,55.84,9.60,39.54,5.69,0.35
"JM Bairstow",52,52,1674,1181,47,35.62,141.74,173,74,479,40.56,67.86,26.52,32.01,6.01,0.51
"R Parag",72,73,1570,1156,58,27.07,135.81,112,87,428,37.02,61.78,33.25,39.71,5.97,0.09
"DJ Bravo",110,110,1560,1247,68,22.94,125.10,120,66,498,39.94,56.15,25.38,35.85,8.90,0.40
"NV Ojha",94,94,1554,1360,72,21.58,114.26,121,79,648,47.65,61.65,30.50,32.21,4.71,0.74
"Tilak Varma",51,51,1499,1089,38,39.45,137.65,113,74,376,34.53,59.77,29.62,41.60,6.34,0.37
"DJ Hooda",101,102,1497,1213,79,18.95,123.41,98,62,428,35.28,51.04,24.85,42.95,8.24,0.33
"SS Tiwary",73,73,1494,1291,49,30.49,115.72,111,50,479,37.10,49.80,20.08,42.91,7.36,0.15
"SO Hetmyer",78,79,1488,1036,50,29.76,143.63,94,93,380,36.68,62.77,37.50,37.16,8.01,0.10
"H Klaasen",45,45,1480,907,36,41.11,163.18,98,89,243,26.79,62.57,36.08,44.21,8.27,0.11
"VR Iyer",56,56,1468,1107,49,29.96,132.61,136,65,448,40.47,63.62,26.57,34.87,6.32,0.09
"S Badrinath",65,65,1441,1245,46,31.33,115.74,154,28,493,39.60,54.41,11.66,38.88,6.83,0.08
"AK Markram",55,55,1440,1093,46,31.30,131.75,111,57,348,31.84,54.58,23.75,46.20,6.13,0.46
"EJG Morgan",74,75,1406,1181,59,23.83,119.05,112,64,512,43.35,59.17,27.31,35.22,6.18,0.34
"BJ Hodge",63,63,1400,1153,41,34.15,121.42,122,43,439,38.07,53.29,18.43,39.20,7.72,0.69
"P Simran Singh",52,52,1355,904,50,27.10,149.89,141,71,373,41.26,73.06,31.44,30.42,4.65,0.22
"SC Ganguly",56,56,1349,1326,52,25.94,101.73,137,42,662,49.92,59.30,18.68,32.20,4.07,0.23
"CA Lynn",42,42,1329,974,38,34.97,136.45,132,66,416,42.71,69.53,29.80,32.34,4.62,0.00
"DJ Hussey",61,61,1322,1101,46,28.74,120.07,90,60,425,38.60,54.46,27.23,41.05,6.54,0.18
"MR Marsh",49,49,1292,933,44,29.36,138.48,104,75,375,40.19,67.03,34.83,36.01,4.18,0.43
"V Shankar",63,63,1233,985,46,26.80,125.18,88,48,339,34.42,51.91,23.36,43.45,8.22,0.10
